,name,beer_style,brewery,rating,num_ratings,abv,date_added,beer_desc,not_available
11,Spitze,Altbier,Knightberg,3.81,217,4.5% ABV,04/11/20,"Сварено с использованием солода Avangard Malz!

Сбалансированный хмелево-солодовый профиль с выраженным горьковато-сладковатым вкусом. В аромате ясно чувствуются зерно, пряности, фруктовые эфиры, тона орехов, тостов, хлеба. Жатецкий хмель проявляется цветочными и травянистыми нотами.",
12,Uber Alt (w/ Bourbon Oak),Altbier,Rush River Brewing,3.81,182,8.5% ABV,03/22/14,,
13,Ein Stein Doppelsticke,Altbier,Cervejaria Brewpoint,3.81,233,9.5% ABV,07/27/18,"Primeira cerveja colaborativa da Cervejaria Brewpoint e Cervejaria Quatro Graus. Apresenta cor vermelha-rubi, com corpo médio-baixo e boa retenção de espuma, aromas que remetem a frutas vermelhas e escuras, com leve toffee. O sabor apresenta o amargor característico do estilo, harmonizado com sua base rica de maltes, ocultando a potência de seus 9,5% de teor alcoólico.",
14,Sticke Biscuit,Altbier,Sierra Nevada Brewing Co.,3.8,362,9.8% ABV,01/29/19,"Historically brewed for special occasions, a sticke alt is a “secret” stronger version of the German Altbier style. Altbiers are fermented with a unique yeast that blurs the line between ale and lager, striking a delicate balance with assertive malt and hop flavors. Traditionally a neighborhood specialty, old-time Alt breweries would often add their own twist on the style to distinguish it from local competition. We pay homage to that tradition with our variation which we brewed with three different types of biscuit malt and aged in bourbon barrels for six months. The result is a complex amber-hued beer with subtle notes of toffee, baking spice, and toasted sourdough.",
15,Bourbon Street Alt,Altbier,Abita Brewing Company,3.79,665,8.5% ABV,02/11/16,"Our Bourbon Street Alt is a bourbon barrel-aged Dusseldorf-style Alt beer, brewed with pale and German specialty malts including Munich, Carared, and Melanoidin. It is cold fermented and cold aged to produce a smooth malt flavor. Next, the beer is aged for another eight weeks in small batch bourbon barrels. The result is a strong German-style alt with sweet flavors of malt and warm bourbon flavors from the barrels.",
16,4th Anniversary Ale (Alt Dopplestike),Altbier,Hangar 24 Craft Brewing,3.79,275,8.8% ABV,04/15/12,An Alt Dopplestike style beer blended with a special Rye Barrel Aged version of the 2011 Pugachev's Cobra Russian Imperial Stout.,1.0
17,Schumacher Latzenbier,Altbier,Brauerei Schumacher,3.79,715,5.5% ABV,12/28/10,,
18,Bourbon Barrel Aged Copper,Altbier,The Olde Mecklenburg Brewery,3.79,173,N/A ABV,09/11/16,,
19,Maltlanta Doppel Sticke,Altbier,Wrecking Bar Brewing,3.78,245,9.3% ABV,02/03/16,"The big brother to our Altlanta Dusseldorf-style Altbier, Maltlanta is a Sticke Altbier brewed to be larger and grander in every way. Rich malt aroma of toffee and biscuits are balanced by a light herbal hop nose coming from the glass. In typical Altbier fashion, the beer is notable for big bright malt notes of caramel and shortbread while finishing crisp and dry for such a large beer. This is a highly refreshing and satisfying brew; you might even forget how big and bad the beer is, so exercise caution!",
20,Doppelsticke Altbier,Altbier,THAT Brewery,3.78,400,8.5% ABV,10/17/12,"Super-strong (""double"") Alt-style ale, rich copper nutty-malty sweetness, well hopped with spicy aftertones. So smooth!",
21,Altbitter,Altbier,Widmer Brothers Brewing,3.78,"2,276",9.5% ABV,09/08/14,"AltBitter, a collaboration beer between Deschutes Brewery and Widmer Brothers Brewing, is a blend of imperial barrel-aged versions of Bachelor Bitter and Widmer Brothers’ Altbier.",
22,Frosch Bier,Altbier,Bullfrog Creek Brewing Co. ,3.77,154,4.9% ABV,04/16/18,Our take on an Altbier. Malt forward with big caramel notes but a smooth finish.,
23,Waffle Beer,Altbier,Sycamore Brewing,3.77,298,5.8% ABV,10/01/16,,
24,Double Alt.,Altbier,Zipline Brewing Co.,3.77,196,8% ABV,12/07/17,,
25,Altbier,Altbier,Notch Brewing,3.76,229,4.5% ABV,02/17/19,"Düsseldorf style Altbier: A copper colored ale that feels like a lager. Sweet vanilla balances earthy snappy bitterness with rounded notes of dark crusty bread and caramel. Single decoction, open fermented, extended cold lagering time, natural carbonation. The Düsseldorf style of Altbier tends to display more bitterness and less sweetness than other German Altbier.",
26,Ales For ALS,Altbier,Odell Brewing Co.,3.76,157,10.4% ABV,06/14/13,,
27,Make the Cut: Verkaufen,Altbier,14th Star Brewing Company,3.76,242,5.6% ABV,07/01/16,"This German style Altbier was brewed by the 2016 Make The Cut Homebrew Challenge champion Roland Maheaux of Jericho, VT.",1.0
28,Ч. Б. (Bukowski) Doppel Alt,Altbier,Craft Brew Riots,3.75,319,7.5% ABV,04/04/15,,
29,Altbier,Altbier,Alliance Brewing Company,3.75,261,5.5% ABV,01/08/14,Düsseldorf Altbier style al,
30,"Come Alt Me, Bruh",Altbier,Burn 'Em Brewing,3.75,367,8% ABV,01/08/15,We took a traditional German style Altbier and turned it into a double Altbier – slightly smokey.,
31,Sticke Alt,Altbier,Lion Bridge Brewing Company,3.75,"1,054",6% ABV,04/15/14,"A traditional German Ale that has a pleasing bronze hue, a rich malt body and a pleasant noble hop character.
""Sticke"" means ""secret"" in German, and was named so as it was historically released to celebrate the loyal brewery patron.
We aren't good at keeping secrets, but we are honored to have you enjoying Lion Bridge beer!",
32,Pink Phoenix,Altbier,Wayfinder Beer,3.75,197,5.5% ABV,09/05/19,"Spicy, dry-hopped, rustic, lager made with heritage yeast. Portion of proceeds go to support of the Pink Phoenix Dragon Boat Team, USA’s first all-cancer-survivor squad.",
33,Imperial Sleigh'r,Altbier,Ninkasi Brewing Company,3.75,957,9% ABV,11/15/14,"Turning up the warmth on our winter seasonal, this Imperial Dark Doüble Alt Ale is brewed with the same recipe we use for Sleigh’r but with an elevated alcohol percentage. Deemed the “Bad Santa” by our brewing crew, Imperial Sleigh’r has a deep toasted malt flavor that finishes dry from the use of an Alt yeast strain.",
34,Bourbon Barrel Aged Anniversary Alt,Altbier,The Olde Mecklenburg Brewery,3.74,163,N/A ABV,10/04/14,,
35,Albrecht,Altbier,Schilling Beer Co.,3.74,163,5% ABV,01/01/20,"A delicate iteration of Westphalian copper ale, hopped with NZ Motueka for beautifully subtle notes of kaffir lime and firm bitterness counterpoised with toasted malt character. Carefully crafted for high drinkability.",
36,Düsseldorf Altbier,Altbier,The Civil Life Brewing Co.,3.74,262,4.9% ABV,10/02/16,"You’ve probably had Kölsch but might not know Düsseldorf Altbier, from another city in the north of Germany. Alt is the German word for old, as in, the old-fashioned way of making beer before pale lagers took over the world. Düsseldorf and Cologne have an age-old friendly rivalry--much like Chicago and St. Louis--each fanatic about their “true” original brews (and regional sports, culture, politics, etc.) There’s an old cartoon picturing a horse drinking from a bucket labelled Alt and urinating into a bucket labelled Kölsch, with the caption So Wird Kölsch Gebrauten (this is how Kölsch is brewed). That’s not a very civil thing to say, though, so we proudly present both styles without playing favourites. The Civil Life Düsseldorf Alt is meticulously authentic, with a subtle fruity-floral-winey taste like Kölsch, but is redder and hoppier, with a bit more malt complexity.",
37,Mahlzeit,Altbier,Birra MC - 77,3.74,192,5.5% ABV,09/26/19,"Altbier da 5,5 gradi prodotta con malti Pils e Monaco tedeschi, luppoli nobili tedeschi e saaz ed il classico lievito ad alta fermentazione ma capace di lavorare anche a basse temperature.",
38,Anniversary Alt,Altbier,The Olde Mecklenburg Brewery,3.74,"1,047",N/A ABV,03/08/13,Anniversary Alt is brewed every March for our Anniversary Celebration.,
39,Altbier,Altbier,ColdFire,3.74,175,4.8% ABV,11/14/16,"The classic Altbier profile is a favorite for my brother and I. After traveling extensively in Germany, we decided to give this style some passion and focus. Brewed with German malts and hops and cool fermented with a true to-style German ale yeast , this bronze colored ale is malty, yet dry with a subtle earthy, spicy hop expression. This ale is was designed to reflect the underpinnings of the traditional Dusseldorf Altbier. it's bready aromatic quality and highly quaffable qualities will be appreciated by those who love tradition",
40,Wendigo,Altbier,Conshohocken Brewing Company,3.73,171,9.4% ABV,10/08/18,"Wendigo is our Rye Whiskey Barrel-Aged Imperial Altbier named for the mythical, ever hungry, man-eater from Algonquin folkelore. We brewed an extra strong version of a classic German style and aged it in New Liberty Rye Whiskey barrels. With rye whiskey upfront and strong malt backbone, this one is sure to have you greedily craving more.",
41,Doppelsticke,Altbier,Klaus Brewing Company,3.73,311,8% ABV,02/23/19,"This beer has intense notes of chocolate and sweet dough on the nose followed by a medium-full mouthfeel with tasting notes of chocolate babka, vanilla and a light touch of coffee-roast. It has a long lasting bittersweet and fudgy finish. 8% ABV 60 IBU

Our Doppelsticke Altbier is an imperialized take on a classic altbier. Pubs in Dusseldorf, where altbier gained its popularity, often had a secret or “Sticke” altbier that was darker and stronger than the normal offering.",
42,DoubleDeft Secret,Altbier,Deft Brewing,3.73,198,8.2% ABV,03/22/18,"Brewers in Dusseldorf, Germany used to stash away special ""Sticke"" (slang for secret) high-alcohol batches of Altbier for friends. ""Bigger"" beer with nice alcohol warmth.",
43,Dussel,Altbier,East Branch Brewing,3.73,194,5.9% ABV,02/17/19,Sticke alt,
44,Altbier,Altbier,Dancing Gnome,3.73,176,4.8% ABV,02/25/20,"A super flavorful, drinkable, dark session ale rich with malt but crisp and balanced.",
45,Sacred ALTar,Altbier,Toltec Brewing Co.,3.73,231,6.5% ABV,05/05/18,,
46,CTRL-ALT-DEL,Altbier,Missing Falls Brewery ,3.73,197,5.5% ABV,07/24/19,"A German style brown ale, lagered for an extended period of time to create an exceptionally smooth, clean, and delicate brew.",
47,Altbier,Altbier,Dovetail Brewery,3.73,707,4.2% ABV,10/18/18,Our version of the Düsseldorf classic.,
48,Bauernhof,Altbier,Wheatland Spring Farm + Brewery,3.73,195,4.9% ABV,06/05/19,"BAUERNHOF

Alt 4.9%
10% Estate grown; 90% VA grain; 10% Single-Origin Bavarian grain
Tasting Notes: Toasted Bread, Toffee, Toasted Hazelnut, Roasted Coffee, Chicory

Bauernhof Alt is inspired by the classic Altbier of Düsseldorf, viewed through the lens of our farming community. Brewed with custom-malted chocolate wheat grown on our farm, VA grown grain, and a portion of barley from a small farm in Bavaria. Though rich in color, Altbier retains high drinkability from its dry finish and balanced bitterness thanks to Noble German Hop varietals.",
49,Jrön Grünhopfensticke - 2016,Altbier,Uerige Obergärige Hausbrauerei,3.73,949,6.2% ABV,01/22/16,,1.0
0,Fuzzy (Blend #2),American Wild Ale,Side Project Brewing,4.57,"5,291",8% ABV,04/17/16,Fuzzy is our Missouri Wild Ale that was fermented and aged in our 70hL French Oak Foedre for 2 years before being racked on to White Peaches from southeast Missouri and aged an additional 7 months as the beer refermented to dryness before being naturally conditioned in the bottle. [Released 05/07/16],1.0
1,Fuzzy (Blend #3),American Wild Ale,Side Project Brewing,4.54,"3,833",8% ABV,02/27/18,American Wild Ale fermented in Chardonnay barrels with spontaneous yeast and our house sour blend and aged with Missouri peaches. [Released 3/10/18],
2,Pulling Nails (Blend #8),American Wild Ale,Side Project Brewing,4.53,"1,241",7% ABV,04/07/18,"Pulling Nails is an ongoing experiment in the art of blending to create sour and wild ales of extraordinary depth, complexity and balance. Blend #8 is the union of a Méthode Traditionnelle beer that was inoculated in our coolship and spontaneously fermented and aged in French Oak Puncheons for 3 years and a small portion of 1 year old Missouri Saison which was then blended, refermented on Raspberries and Cherries and naturally conditioned in this bottle for several months before its release.",
3,Fuzzy (Blend #1),American Wild Ale,Side Project Brewing,4.53,"1,661",8% ABV,07/12/13,Fuzzy is a Missouri Wild Ale that was fermented with native microflora from our family’s Missouri farm and then aged on Missouri-grown white peaches. The bright acidity and rustic funk is balanced by the delicate flavors and soft aromatics of the white peaches. This sour ale was fermented in and aged in Chardonnay barrels for more than a year. [Released 04/16/14],1.0
4,Isabelle Proximus,American Wild Ale,The Lost Abbey,4.52,"1,141",7% ABV,01/06/11,"The collaborative beer was the work of five brewers - Sam Calagione (Dogfish), Tomme Arthur (The Lost Abbey), Adam Avery (Avery Brewing), Rob Todd (Allagash), and Vinnie Cirulzo (Russian River). The guys all took a trip to Belgium together a few years back and decided to make a beer together - this is it. The beer was brewed at Tomme's brewery and each company put in a few barrels of beer and some of their house yeast. The result is a tasty sour ale. The original label artwork was painstakingly painted by Sam Calagione.",1.0
5,Cable Car Ale,American Wild Ale,The Lost Abbey,4.51,"3,248",7% ABV,11/09/10,,
6,Pulling Nails (Blend #4),American Wild Ale,Side Project Brewing,4.51,"3,482",6% ABV,08/21/16,"Pulling Nails is an ongoing experiment in the art of blending to create sour and wild ales of extraordinary depth complexity and balance. Blend #4 is the union of Blended #40, a Bière de Champagne, a Missouri Wild Ale, and Pêche Oude Fermier that were fermented in and aged in wine barrels for 14 to 28 months.",1.0
7,Sherry Barrel Atrial Rubicite,American Wild Ale,Jester King Brewery,4.5,"1,201",7% ABV,09/03/15,"Sherry Barrel Atrial Rubicite was brewed with Hill Country well water, barley, wheat, oats, and hops. It was fermented with our mixed culture of microorganisms consisting of brewers yeast and native yeast and bacteria harvested from the air and wildflowers around our brewery, and refermented with raspberries grown in Washington. Sherry Barrel Atrial Rubicite was packagd in July of 2015 and is unfiltered, unpasteurized, and 100% naturally conditioned. At the time of bottling, it was 7.0% alcohol by volume, 1.003 specific gravity (0.75 degrees Plato), 7 IBU, and 3.3 pH.",
8,Atrial Rubicite (Blend 4),American Wild Ale,Jester King Brewery,4.5,"2,928",5.8% ABV,05/23/14,"Atrial Rubicite is made from well water, barley, wheat, hops, farmhouse, native yeast from the Texas Hill Country, souring bacteria and raspberries. It’s 5.8% alcohol by volume, has a finishing gravity of 1.005 and is 3.36 pH. It is unfiltered, unpasteurized and 100% bottle conditioned.",1.0
9,Blended 2017,American Wild Ale,Side Project Brewing,4.49,"3,042",6% ABV,04/19/17,"A blend of the following:

2014 - A mash bill of 65% Pilsner and 35% Unmalted Wheat that was turbid-mashed and boiled for three hours with hop pellets. Inoculated with Barrel #40 and fermented in and aged in two neutral Hungarian Oak 500L Puncheons. 

2015 - A mash bill of 65% Pilsner and 35% Unmalted Wheat that was step-mashed and boiled for two hours with aged, whole-leaf hops. Inoculated with cultures from the 2014 brew and fermented in and aged in two French Oak 500L Puncheons.

2016 - A mash bill of 70% Pilsner, 20% Unmalted Wheat and 10% Malted Wheat was single-infusion mashed and boiled for two hours with hop pellets. Inoculated with cultures from the 2015 brew and fermented in and aged in two French Oak Pinot Noir 500L Puncheons.",
10,Smooth (Blend #1),American Wild Ale,Side Project Brewing,4.49,"1,419",6% ABV,01/10/16,"Smooth is our Missouri Wild Ale that was fermented in and aged in a French Oak foedre with Missouri microflora for 2 years. Once mature, it was racked on to Missouri Nectarines from the same farm in which we get White Peaches for Fuzzy.",1.0
11,Pulling Nails (Blend #3),American Wild Ale,Side Project Brewing,4.48,"2,884",6% ABV,06/12/15,"Pulling Nails is an ongoing experiment in the art of blending to create sour and wild ales of extraordinary depth, complexity and balance. Blend #3 is a blend of Oude du Blé w/ Apricots, 2 yr Spontaneous Blond & Foedre Beer.",1.0
12,Pulling Nails (Blend #2),American Wild Ale,Side Project Brewing,4.48,"1,836",6% ABV,11/30/14,"Pulling Nails is an ongoing experiment in the art of blending to create sour and wild ales of extraordinary depth, complexity and balance. Blend #2 is the union of some of our favorite spontaneous, wild and sour blond beers that were fermented in and aged in wine barrels for three months to two and a half years.",1.0
13,Atrial Rubicite,American Wild Ale,Jester King Brewery,4.48,"9,490",5.8% ABV,05/12/13,"Atrial Rubicite is made from well water, barley, wheat, hops, farmhouse, native yeast from the Texas Hill Country, souring bacteria and raspberries. It’s 5.8% alcohol by volume, has a finishing gravity of 1.005 and is 3.36 pH. It is unfiltered, unpasteurized and 100% bottle conditioned.",
14,R & D Wild Peach,American Wild Ale,New Glarus Brewing Company,4.48,"3,609",7.25% ABV,08/03/14,"Sour brown ale with Michigan peaches. Spontaneous fermentation aged on oak. Blended with one, two and three-year old beer. Oak, leathery and horsey notes with hints of bourbon.",
15,The Peach,American Wild Ale,de Garde Brewing,4.46,"3,232",7.3% ABV,11/20/15,"A golden wild ale aged in Cognac barrels. After extended aging, this was transfered into oak tank and refermented with Oregon Peaches.",
16,Veritas 015,American Wild Ale,The Lost Abbey,4.46,"3,237",6.5% ABV,02/06/15,"American Wild Ale with Peaches, Nectarines and Apricots.",1.0
17,Orviamo,American Wild Ale,Side Project Brewing,4.46,803,10% ABV,05/18/15,"Collaboration with de Garde. Wild ale with microflora from both breweries, Oregon raspberries and plums, then aged in a combination of wine, whiskey and port barrels.",1.0
18,Elements of Composition (Batch 1),American Wild Ale,de Garde Brewing,4.46,"1,646",6.2% ABV,12/07/16,"We’re pleased to introduce Elements of Composition, a blend of beer and friendship spanning the course of years. In February 2016, brewers from De Garde Brewing, Jester King Brewery, and Sante Adairius Rustic Ales in met in Tillamook, Oregon to blend beer from each of their respective breweries. Three year old, 100% spontaneously fermented beer from De Garde was blended with two year old, 100% spontaneously fermented beer from Jester King, and mature, foudre aged saison from Sante Adairius. The result is a beer distinct from, but not greater than, the sum of its parts.",1.0
19,Toronado 25th Anniversary Ale,American Wild Ale,Russian River Brewing Company,4.45,"2,473",8.75% ABV,07/23/12,,1.0
20,Fencerow (Blend #3),American Wild Ale,Side Project Brewing,4.45,"5,338",6% ABV,09/23/17,"Foedre aged Missouri Wild ale with wild yeast, wild bacteria and Oregon black raspberries. 100% more fruit than blend #2.",1.0
21,Civil Disobedience #14,American Wild Ale,Hill Farmstead Brewery,4.44,"1,402",N/A ABV,07/09/15,A blend of various beers/barrels from Summer 2012 through Summer 2013. Consisting primarily of Anna and Florence - aged in wine barrels for 16 to 30 months.,1.0
22,"Flora (w/ Blueberries, Black Currants & Raspberries)",American Wild Ale,Hill Farmstead Brewery,4.43,"2,207",5% ABV,12/07/15,"Flora aged on blueberries, black currants and raspberries: A few barrels of Flora were selected, and that beer was aged further on a blend of fresh, hand-picked berries from Greensboro and East Hardwick.",1.0
23,La Fosse (Blend #1),American Wild Ale,Side Project Brewing,4.43,"1,682",7% ABV,06/07/14,Sour blonde ale fermented and aged in Chardonnay barrels with Turkish Apricots.,1.0
24,SPON Raspberry & Cherry (2016),American Wild Ale,Jester King Brewery,4.43,"1,939",5.2% ABV,10/09/16,Spontaneous beer re-fermented with raspberries and cherri,1.0
25,Elaborative Five,American Wild Ale,Hill Farmstead Brewery,4.42,"2,090",N/A ABV,08/09/16,100% Spontaneously Fermented/Coolshipped beer fermented with Amarillo and Rooibos Tea. Brewed March 2014 with our friend Brad Clark of Jackie O's Pub & Brewery.,1.0
26,Nightmare On Brett w/ Raspberries (Aged in Leopold Bros Whiskey Barrels),American Wild Ale,Crooked Stave Artisan Beer Project,4.42,"4,549",9.666% ABV,12/20/15,Dark sour ale aged in Leopold Brothers whiskey barrels with raspberries.,1.0
27,Atrial Rubicite (Blend 10),American Wild Ale,Jester King Brewery,4.42,729,6.9% ABV,06/11/20,"Atrial Rubicite is our barrel aged wild ale re-fermented with over 6 pounds per gallon of raspberries! Brewed with well water and local malt, Atrial Rubicite is aged for roughly a year in oak barrels before fruit re-fermentation and 100% natural conditioning.",
28,Being & Time,American Wild Ale,Hill Farmstead Brewery,4.42,583,N/A ABV,08/08/15,Brewed in 2011. Spontaneous fermentation. More than 28 months in barrels.,1.0
29,Velvet,American Wild Ale,Casey Brewing & Blending,4.42,"1,199",8% ABV,09/18/18,"First came Leaner. Then came Jammy. Now Velvet, our apricot collab with Side Project. Over 5 pounds per gallon Colorado Perfection apricots. We've never used so many apricots in a blend. Last year, we had 4 different apricot blends that never carbonated. I can't explain how much sleep I lost worrying about this beer carbing. But we figured our process out and this. is. good.",
30,The Broken Truck No. 2,American Wild Ale,de Garde Brewing,4.41,"1,175",5% ABV,04/02/16,,1.0
31,Thicket (Blend #1),American Wild Ale,Side Project Brewing,4.41,"1,502",6% ABV,01/21/15,Wine-Barrel Fermented Blended Missouri Wild Ale Aged on Blackberries.,1.0
32,Atrial Rubicite (Blend 3),American Wild Ale,Jester King Brewery,4.41,"1,552",5.8% ABV,12/15/13,"Atrial Rubicite is made from well water, barley, wheat, hops, farmhouse, native yeast from the Texas Hill Country, souring bacteria and raspberries. It’s 5.8% alcohol by volume, has a finishing gravity of 1.005 and is 3.36 pH. It is unfiltered, unpasteurized and 100% bottle conditioned.",1.0
33,Peach Climacteric,American Wild Ale,WeldWerks Brewing Co.,4.41,"1,873",7.2% ABV,11/12/16,"Peach Climacteric is the first official release from our barrel-aged sour program and represents the culmination of nearly 2 years of work, which began when we opened our doors back in 2014. We started with a blend of various batches of pale golden sours, fermented with multiple strains of Brettanomyces and bacteria and aged in oak barrels for anywhere from 4-16 months. The climacteric event marks the peak of edible ripeness for fruit and Peach Climacteric certainly lives up to that description after aging the blend with over 1,600 pounds of fresh peaches from Palisade, CO (nearly 4 pounds of peaches per gallon).",1.0
34,The Broken Truck,American Wild Ale,de Garde Brewing,4.4,"1,483",5% ABV,06/25/15,"Shortly after we started distributing, we had our cursed old brewery truck break down while carrying a load of kegs to our distributor. Our distributor was about to close for the weekend, and we had no way to get them there in time, and nowhere to store them in good condition during the opressively hot weather. As is our habit during times of stress, we sought a cold beer at the newly opened taproom and growler station around the corner, Tin Bucket. After chatting with the owner, he expressed his disappointment at not being able to get our beer. To cut it short, he and his partner bought the entire truckload, saving not just the beer, but quite literally our business. 

This beer is for them. We worked with them to blend this from three different years of our lambic inspired barrels. We chose a blend with a beautiful and expressive Brett character that has only blossomed during its extended conditioning. Our favorite beer to date.",
35,Tête de Cuvée (Vintage 2016),American Wild Ale,Side Project Brewing,4.4,650,7% ABV,04/11/19,"A blend of select Oude Fermier Barrels: one racked to neutral French Oak Barrels in September 2016, one racked to Chardonnay French Oak Barrels in October 2016 and one racked to White Burgundy French Oak Barrels in December 2016.",
36,Raspe (Blend #1),American Wild Ale,Side Project Brewing,4.39,"2,447",7% ABV,07/12/13,"pe is a blend of blond Missouri Wild Ales that were fermented entirely with our Missouri cultures and aged in French oak until maturity. At maturity, a blend was chosen and then moved on top of more than 4,000 lbs of Decker Farms Oregon Red Raspberries in one of our American Oak Foedres from our friends at Foeder Crafters of America. The result is a lively, jammy, vibrant beer that showcases the quality of the fruit that was selected and the maturation time of the whole process to produce Raspe.",
37,Beatification,American Wild Ale,Russian River Brewing Company,4.39,"12,829",6% ABV,12/06/10,"This beer is very unique and inspired by breweries in the Lambic region of Belgium and, especially, our friends at Cantillon. It is 100% spontaneously fermented, meaning yeast is not added. Once the beer is brewed, it is transferred to a cool-ship or “horny” tank located in our barrel room at the pub. There it sits overnight and collects whatever funky wild yeast and bacteria may be living in the room. The next day it is transferred to oak wine barrels where it ferments wildly and ages for a few months. The end result is a wild, spontaneously fermented, sour, and tasty hand-crafted beer!",
38,"Home, Sour Home (Batch 2)",American Wild Ale,The Rare Barrel,4.39,"8,223",5.8% ABV,06/15/15,"Golden sour with peaches, vanilla beans, and cinnamon.",
39,The Purple,American Wild Ale,de Garde Brewing,4.38,"5,633",7% ABV,11/23/15,Aged in Oak Wine Barrels with black & red raspberri,
40,Gin Barrel Nocturn Chrysalis,American Wild Ale,Jester King Brewery,4.38,597,7.5% ABV,05/26/16,"Gin Barrel Nocturn Chrysalis involved a long process to make. It was brewed in 2014, aged in oak barrels for about a year, refermented with blackberries, then aged in a gin barrel for another ten months! It was bottled on April 6th, 2016. At the time of bottling, it was 7.5% alcohol by volume, 1.001 specific gravity (0.25 Plato), 7 IBU, and 3.4 pH.",
41,Fencerow (Blend #2),American Wild Ale,Side Project Brewing,4.37,732,6% ABV,06/25/15,"Wild ale with wild yeast, wild bacteria and wild black raspberries from my home town of Puxico Missouri. 50% more fruit than Blend #1",1.0
42,Petit Pêche,American Wild Ale,de Garde Brewing,4.37,"1,590",6.9% ABV,10/22/16,A Tart Farmhouse Ale Aged in Oak Barrels with Peaches.,
43,The Floue Floue,American Wild Ale,de Garde Brewing,4.37,730,7.4% ABV,06/07/18,A blend of wild ales aged in oak barrels with peaches. An Oregon & Missouri collaboration with our friends from Side Project.,
44,Merci (Blend #3),American Wild Ale,Side Project Brewing,4.37,"3,589",6% ABV,06/13/17,"14% - Saison du Fermier that was fermented in French Oak with our Saison/local microflora mixed culture and then racked to and aged in a light toast American Oak Foedre for 6 months.


31% - Saison du Fermier that was fermented in and aged in a heavy toast American Oak Foedre for 4 months with our Saison/local microflora mixed culture.

46% - Missouri Wild Blond Ale that was aged a French Oak Foedre that we have been pulling solera-style pieces from for the past 4 years. Higher acid (base for Fuzzy).

9% - Missouri Wild Ale that was aged in Missouri Oak Chardonnay barrels (59 gallon) for 3 years. Was aged to become a thread in this beer or a Pulling Nails blend.",
